DINGHY;Super Nova Open;00:00;29/05/2016;00:00;30/05/2016;Super Nova Open Tide: 12.21 HW: 3M
DINGHY;King Cup At Sea;12:00;30/05/2016;13:05;30/05/2016;King Cup Tide: 13.26 HW: 2.9M 1Race(s),At Sea Race Time: 12.00 Noon
CRUISER;;19:00;31/05/2016;20:30;31/05/2016;Lack of WaterHW: 14:38 (3.0)LW: 20:51 (0.9)
DINGHY;King Cup Start-Box Start.;19:00;01/06/2016;20:05;01/06/2016;King Cup Tide: 22.11 LW: 0.8M 1Race(s),Start-Box Start. Race Time: 7.00 PM
CRUISER;;19:00;02/06/2016;20:30;02/06/2016;HW: 17:03 (3.6)LW: 23:17 (0.5)
CRUISER;;09:00;04/06/2016;20:30;04/06/2016;To Brixham and BackHW: 06:31 (3.9)LW: 12:46 (0.2)
DINGHY;Sun At Sea;14:00;05/06/2016;15:55;05/06/2016;Sun Tide: 13.41 LW: 0.1M 2Race(s),At Sea Race Time: 2.00 PM
CRUISER;;19:00;07/06/2016;20:30;07/06/2016;HW: 21:19 (4.1)LW: 15:14 (0.2)
DINGHY;Wed 1 Up-Spirits Start.;19:00;08/06/2016;20:05;08/06/2016;Wed 1 Tide: 21.58 HW: 3.9M 1Race(s),Up-Spirits Start. Race Time: 7.00 PM
CRUISER;;19:00;09/06/2016;20:30;09/06/2016;HW: 22:36 (3.7)LW: 16:29 (0.4)
DINGHY;Sat 1 Junior/N.Adult River Start;14:00;11/06/2016;16:45;11/06/2016;Sat 1 Junior/N.Adult Tide: 17.45 LW: 0.9M 3Race(s), Race Time: 2.00 PM
DINGHY;2RJS ESC;00:00;12/06/2016;00:00;13/06/2016;2RJS ESC Tide: 12.36 HW: 2.8M
CRUISER;;19:00;14/06/2016;20:30;14/06/2016;LW 20:24 Delay ReturnHW: 14:39 (2.8)LW: 20:24 (1.2)
DINGHY;Wed 1 Start-Box Start.;19:00;15/06/2016;20:05;15/06/2016;Wed 1 Tide: 21.35 LW: 1.2M 1Race(s),Start-Box Start. Race Time: 7.00 PM
CRUISER;;00:00;15/06/2016;00:00;20/06/2016;Wed 15 - Mon 20 Dest. TBC
CRUISER;;19:00;16/06/2016;20:30;16/06/2016;HW: 16:39 (3.1)LW: 22:38 (1.0)
DINGHY;Sat 1 River Start;16:00;18/06/2016;18:45;18/06/2016;Sat 1 Tide: 18.17 HW: 3.5M 3Race(s), Race Time: 4.00 PM
CRUISER;;19:00;21/06/2016;20:30;21/06/2016;HW: 20:23 (3.8)
DINGHY;Wed 1 Up-Spirits Start.;19:00;22/06/2016;20:05;22/06/2016;Wed 1 Tide: 20.58 HW: 3.8M 1Race(s),Up-Spirits Start. Race Time: 7.00 PM
CRUISER;;19:00;23/06/2016;20:30;23/06/2016;HW: 21:32 (3.8)
CRUISER;;09:00;25/06/2016;21:00;25/06/2016;HW: 10:36 (3.5)
DINGHY;Sun River Start;10:00;26/06/2016;12:45;26/06/2016;Sun Tide: 11.18 HW: 3.4M 3Race(s), Race Time: 10.00 AM
CRUISER;;19:00;28/06/2016;20:30;28/06/2016;Delayed startLW: 18:56 (0.9)
DINGHY;Wed 2 Start-Box Start.;19:00;29/06/2016;20:05;29/06/2016;Wed 2 Tide: 20.13 LW: 1M 1Race(s),Start-Box Start. Race Time: 7.00 PM
CRUISER;;19:00;30/06/2016;20:30;30/06/2016;River/Early Finish?HW: 15:25 (3.2)LW: 21:39 (0.9)
CRUISER;;00:00;01/07/2016;00:00;09/07/2016;Fri 1 to Sat 9 July
DINGHY;Sat 2 River Start;16:00;02/07/2016;18:45;02/07/2016;Sat 2 Tide: 17.42 HW: 3.7M 3Race(s), Race Time: 4.00 PM
CRUISER;;05:00;02/07/2016;21:00;02/07/2016;
DINGHY;2RJS Teign;00:00;03/07/2016;00:00;04/07/2016;2RJS Teign
CRUISER;;19:00;05/07/2016;20:30;05/07/2016;HW: 20:20 (4.1)
DINGHY;King Cup Up-Spirits Start.;19:00;06/07/2016;20:05;06/07/2016;King Cup Tide: 21.01 HW: 4M 1Race(s),Up-Spirits Start. Race Time: 7.00 PM
CRUISER;;19:00;07/07/2016;20:30;07/07/2016;HW: 21:39 (4.0)LW: 15:38 (0.3)
DINGHY;2RJS SYC;00:00;09/07/2016;00:00;10/07/2016;2RJS SYC Tide: 10.41 HW: 3.5M
DINGHY;Sun Junior/N.Adult River Start;10:00;10/07/2016;12:45;10/07/2016;Sun Junior/N.Adult Tide: 11.13 HW: 3.2M 3Race(s), Race Time: 10.00 AM
CRUISER;;19:00;12/07/2016;20:30;12/07/2016;LW: 18:33 (1.2)
DINGHY;Wed 2 Start-Box Start.;19:00;13/07/2016;20:05;13/07/2016;Wed 2 Tide: 19.25 LW: 1.3M 1Race(s),Start-Box Start. Race Time: 7.00 PM
CRUISER;;19:00;14/07/2016;20:30;14/07/2016;Finish coincides with LWHW: 14:31 (2.8)LW: 20:35 (1.3)
DINGHY;Exe Regatta LSC;00:00;16/07/2016;00:00;17/07/2016;Exe Regatta LSC Tide: 16.5 HW: 3.1M
CRUISER;;00:00;16/07/2016;00:00;17/07/2016;Exe RegattaHW: 16:50 (3.1)LW: 10:16 (1.1)
DINGHY;Exe Regatta LSC;00:00;17/07/2016;00:00;18/07/2016;Exe Regatta LSC Tide: 11.16 LW: 0.9M
CRUISER;;19:00;19/07/2016;20:30;19/07/2016;HW: 19:22 (3.8)
DINGHY;Wed 2 Up-Spirits Start.;19:00;20/07/2016;20:05;20/07/2016;Wed 2 Tide: 20.05 HW: 3.9M 1Race(s),Up-Spirits Start. Race Time: 7.00 PM
CRUISER;;19:00;21/07/2016;20:30;21/07/2016;HW: 20:43 (3.9)
CRUISER;;00:00;22/07/2016;00:00;23/07/2016;Poss Team Event TBC
DINGHY;Sat 2 At Sea;16:00;23/07/2016;17:55;23/07/2016;Sat 2 Tide: 15.48 LW: 0.4M 2Race(s),At Sea Race Time: 4.00 PM
CRUISER;;00:00;23/07/2016;00:00;24/07/2016;Poss Team Event TBC
